ID,GlideNumber,Country,multi_country,long,lat,Area,Year,Validation,Dead,Displaced,categorised_reason,Severity
602,0,EGYPT,no,30.049,30.7101,3165.39,1991,News,0,6000,Infrastructure Failure,1.0
915,0,EGYPT,no,31.925,26.3341,44072.06,1994,News,593,100000,Heavy Rain,2.0
1131,0,EGYPT,no,32.7554,25.8386,37943.47,1996,News,23,1050,Heavy Rain,1.0
1217,0,EGYPT,no,30.6766,30.4282,68464.63,1997,News,4,0,Heavy Rain,1.0
1278,0,EGYPT,no,32.5751,26.5269,307644.01,1997,News,12,0,Heavy Rain,1.0
1294,0,EGYPT,no,32.2236,29.6688,113068.3,1997,News,4,0,Heavy Rain,1.0
1891,0,EGYPT,no,35.4677,23.1932,564.33,2002,News,4,800,Heavy Rain,1.0
3594,FL-2010-000012-EGY,EGYPT,no,31.0895,28.077,226050.59,2010,0,10,7000,Heavy Rain,1.5
4305,,EGYPT,no,30.4819,31.0422,8231.84,2015,News,0,6,Heavy Rain,1.5
4411,FL-2016-000114-EGY,EGYPT,no,34.7625,24.3954,28260.17,2016,News,22,0,Heavy Rain,1.5
4881,,EGYPT,no,30.7541,29.0213,22124.19,2020,FloodList,5,0,Heavy Rain,1.0
