anno,dt_ince,comune,sup_tot,geom
2017,2017-03-22,ALTRO,14229,POINT(8.998069551909975 39.67883167222246)
2017,2017-04-14,ALTRO,19378,POINT(8.967303190216455 39.26075711617628)
2017,2017-04-24,ALTRO,5756,POINT(8.598501260637597 39.48372732649418)
2017,2017-05-07,ALTRO,2291,POINT(8.742164997424378 39.44615098770006)
2017,2017-05-07,ALTRO,39870,POINT(8.763867914307491 39.55304352818263)
2017,2017-06-07,ALTRO,25627,POINT(8.913633132086199 39.65184332765274)
2017,2017-07-07,ALTRO,9902,POINT(8.922509130019476 39.335824469520695)
2017,2017-05-08,BOSCHIVO,3268,POINT(9.343114520368449 39.28811256236226)
2017,2017-05-09,ALTRO,32928,POINT(8.89495846520462 39.33078653526026)
2017,2017-05-09,ALTRO,2533,POINT(8.765714140980895 39.438868985188044)
2017,2017-05-12,ALTRO,1606,POINT(8.765421499995194 39.47091237271651)
2017,2017-05-12,ALTRO,4327,POINT(9.28457666353732 39.25124449484097)
2017,2017-07-16,ALTRO,1520,POINT(8.867293035336768 39.57878468177985)
2017,2017-05-10,ALTRO,10652,POINT(8.72679140449265 39.47168628650233)
2017,2017-05-10,ALTRO,15118,POINT(9.176300122183822 39.2564642690001)
2017,2017-05-10,ALTRO,32006,POINT(8.978523139733637 39.198177552411025)
2017,2017-05-06,ALTRO,157533,POINT(8.976854921427412 39.26855641000534)
2017,2017-05-15,PASCOLO,12441,POINT(8.97058564467746 39.018086028135194)
2017,2017-07-07,ALTRO,11281,POINT(8.943132988857316 39.57433137368756)
2017,2017-05-12,ALTRO,9447,POINT(9.033023797617037 39.383247386953556)
2017,2017-05-12,ALTRO,13215,POINT(8.849975068991835 39.34736235979637)
2017,2017-05-13,ALTRO,10086,POINT(8.920672241515991 39.29254469492491)
2017,2017-05-13,ALTRO,3414,POINT(8.745416077371688 39.450616618639835)
2017,2017-05-13,ALTRO,12349,POINT(8.973118279216875 38.971292356556816)
2017,2017-05-13,BOSCHIVO,7335,POINT(9.34310175081069 39.35325360651247)
2017,2017-05-14,BOSCHIVO,62176,POINT(8.645726012121195 39.53087050738868)
2017,2017-05-14,ALTRO,6382,POINT(8.996119996001493 39.154319632769244)
2017,2017-05-16,ALTRO,28603,POINT(8.962604303842038 39.33005285702671)
2017,2017-07-07,ALTRO,2676,POINT(8.951779533352218 39.33802747958066)
2017,2017-05-14,ALTRO,199520,POINT(8.68054654362594 39.615925614455556)
2017,2017-05-14,ALTRO,4896,POINT(9.0037702879965 39.15835041841762)
2017,2017-05-14,ALTRO,25366,POINT(9.113263840863866 39.26810580306467)
2017,2017-05-14,ALTRO,200180,POINT(8.842950154545697 39.439619978468166)
2017,2017-05-15,PASCOLO,26512,POINT(9.061014247548263 39.601134354971585)
2017,2017-05-17,ALTRO,15290,POINT(8.996531576443079 39.13155819218838)
2017,2017-07-25,ALTRO,19740,POINT(8.912141088269752 39.62405629660685)
2017,2017-05-15,ALTRO,24085,POINT(8.981596898072345 39.17900405034561)
2017,2017-05-20,ALTRO,7282,POINT(9.242056820575952 39.29169204270899)
2017,2017-05-30,ALTRO,5351,POINT(8.981743115571806 39.68053974114563)
2017,2017-05-15,PASCOLO,14546,POINT(9.085464489200366 39.458770458014996)
2017,2017-05-14,ALTRO,5277,POINT(8.980120402999429 39.193352830642624)
2017,2017-05-21,ALTRO,39163,POINT(8.864970400048994 39.42391650787713)
