Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
SU,491,3203.68,6.52,ALTRO,EXTREME,High seasonal risk in Summer.
SERRAMANNA,226,806.64,3.57,0,EXTREME,High seasonal risk in Summer.
VILLASOR,190,709.67,3.74,ALTRO,EXTREME,High seasonal risk in Summer.
SANLURI,179,567.50,3.17,ALTRO,EXTREME,High seasonal risk in Summer.
SAMASSI,136,335.74,2.47,ALTRO,EXTREME,High seasonal risk in Summer.
SERRENTI,127,391.72,3.08,ALTRO,EXTREME,High seasonal risk in Summer.
SS,127,3078.49,24.24,ALTRO,EXTREME,High seasonal risk in Summer. Propensity for large-scale events detected.
NU,115,947.43,8.24,ALTRO,EXTREME,High seasonal risk in Summer.
CA,108,262.84,2.43,ALTRO,EXTREME,High seasonal risk in Summer.
VILLACIDRO,97,177.10,1.83,ALTRO,EXTREME,High seasonal risk in Summer.
CAPOTERRA,97,287.52,2.96,ALTRO,EXTREME,High seasonal risk in Summer.
ASSEMINI,96,148.61,1.55,0,EXTREME,High seasonal risk in Summer.
SASSARI,95,339.92,3.58,ALTRO,EXTREME,High seasonal risk in Summer.
SAN GAVINO MONREALE,92,753.49,8.19,ALTRO,EXTREME,High seasonal risk in Summer.
OR,91,492.64,5.41,ALTRO,EXTREME,High seasonal risk in Summer.
DOLIANOVA,88,191.19,2.17,ALTRO,EXTREME,High seasonal risk in Summer.
UTA,86,386.42,4.49,ALTRO,EXTREME,High seasonal risk in Summer.
SINNAI,75,384.09,5.12,ALTRO,EXTREME,High seasonal risk in Summer.
NURAMINIS,75,396.56,5.29,0,EXTREME,High seasonal risk in Summer.
SENORBI',73,229.37,3.14,ALTRO,EXTREME,High seasonal risk in Summer.
SERDIANA,72,169.13,2.35,ALTRO,EXTREME,High seasonal risk in Summer.
DECIMOPUTZU,63,122.15,1.94,0,EXTREME,High seasonal risk in Summer.
SESTU,61,163.35,2.68,ALTRO,EXTREME,High seasonal risk in Summer.
SARDARA,59,117.17,1.99,ALTRO,EXTREME,High seasonal risk in Summer.
VILLAMAR,57,494.90,8.68,ALTRO,EXTREME,High seasonal risk in Summer.
CARBONIA,54,89.70,1.66,0,EXTREME,High seasonal risk in Summer.
NURRI,53,147.56,2.78,0,EXTREME,High seasonal risk in Summer.
QUARTU SANT'ELENA,52,147.95,2.85,ALTRO,EXTREME,High seasonal risk in Summer.
OLBIA,48,93.49,1.95,0,HIGH,High seasonal risk in Summer.
VILLANOVAFRANCA,46,367.67,7.99,ALTRO,HIGH,High seasonal risk in Summer.
BARUMINI,45,246.16,5.47,0,HIGH,High seasonal risk in Summer.
GUAMAGGIORE,43,251.43,5.85,0,HIGH,High seasonal risk in Summer.
SELEGAS,43,221.69,5.16,ALTRO,HIGH,High seasonal risk in Summer.
SILANUS,43,108.06,2.51,0,HIGH,High seasonal risk in Summer.
MONASTIR,42,531.02,12.64,ALTRO,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
VILLASPECIOSA,41,211.63,5.16,0,HIGH,High seasonal risk in Summer.
CAGLIARI,41,145.71,3.55,ALTRO,HIGH,High seasonal risk in Summer.
GERGEI,40,104.80,2.62,0,HIGH,High seasonal risk in Summer.
SILIQUA,39,336.20,8.62,ALTRO,HIGH,High seasonal risk in Summer.
SORSO,38,61.82,1.63,ALTRO,HIGH,High seasonal risk in Summer.
BOTTIDDA,37,74.86,2.02,0,HIGH,High seasonal risk in Summer.
DECIMOMANNU,36,134.74,3.74,ALTRO,HIGH,High seasonal risk in Summer.
SUELLI,36,250.12,6.95,ALTRO,HIGH,High seasonal risk in Summer.
FURTEI,35,79.31,2.27,ALTRO,HIGH,High seasonal risk in Summer.
MARACALAGONIS,34,58.88,1.73,ALTRO,HIGH,High seasonal risk in Summer.
MANDAS,33,253.30,7.68,0,HIGH,High seasonal risk in Summer.
PABILLONIS,32,247.42,7.73,ALTRO,HIGH,High seasonal risk in Summer.
NUORO,32,35.69,1.12,0,HIGH,High seasonal risk in Summer.
QUARTUCCIU,31,67.22,2.17,ALTRO,HIGH,High seasonal risk in Summer.
GUASILA,30,167.87,5.60,0,HIGH,High seasonal risk in Summer.
SIURGUS DONIGALA,29,77.17,2.66,ALTRO,HIGH,High seasonal risk in Summer.
BOLOTANA,29,68.44,2.36,0,HIGH,High seasonal risk in Summer.
GUSPINI,28,270.06,9.65,0,HIGH,High seasonal risk in Summer.
SAN SPERATE,28,99.81,3.56,0,HIGH,High seasonal risk in Summer.
IGLESIAS,27,274.39,10.16,ALTRO,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
TORPE',26,284.34,10.94,BOSCO,HIGH,High seasonal risk in Summer. Forest density increases crown fire risk. Propensity for large-scale events detected.
